Fecha,Intervalo,Forecast Ordenes,Ordenes,% Desv Ordenes,Dif Ordenes,Cancelados,% SS Cancelados,Forecast % CR,Contact Rate,% Desv. CR,Forecast,Inflow,% Desvi. Inglow,Diff. Inflow,Cierres,Asignados,% Sla Forecast,% SLA,% Desv SLA,QFRT (Min) Forecast,#QFRT (Min),% Desv QFRT,RT (Min),AHT (min) Forecast,AHT (Min),TFRT (Total first response time),AWT (Tiempo Medio de Espera),CWD (Closing wait done),SAT (support assignation time),CWT (Close wainting time),% Muestras,% Survey_rate,% answer_rate,Csat_Gral,Enc.Enviadas Gral,Enc. Realizadas Comp,Enc. Positivas Comp,Enc. Negativo Comp,Enc. Neutros Comp,% Dsat comp,Enc. Contestadas Only comp,Enc. Dsat Only Comp,% Dsat Only Agent,Enc. Contestadas Partial comp,Enc. Dsat Partial comp,% Dsat Partial Automated,Enc. Contestadas full_automated comp,Enc. Dsat Full Automated Comp,% Dsat full Automated Comp,%_Auto_Controlados,Q Reopen Agent // Recontacto,#% Reopen CU // % Recontacto,Q Snoozed CU,% Snoozed CU,Q_Reopen,% Reopen,Dentro Sla,Fuera Sla,Sin FRT,%FRT_Vacio,Horas Requeridas,Horas Conexion,PD general,PD Agente,HC Requerido,- HC Real
2024-11-25 00:00:00,1899-12-30 10:00:00,10297,11155,"8,33 %",858,383,"3,43 %","0,32 %","1,71 %","1,39 %",265,191,"-28,00 %",-74,207,33,"90,63 %","87,43 %","-3,19 %",213.15000000000006,13.037288768115946,"-93,88 %",298.96210080645164,8.697843217370652,6.906829143897996,9.081871675774135,3.9554170923418113,0.6879956427015249,44.487248734177214,0.687363834422658,"36,65 %","94,24 %","38,89 %",2.4714285714285715,180,70,26,43,1,"61,43 %",33,16,"48,48 %",37,27,"72,97 %",,,,"0,00 %",39,"20,42 %",2,"1,05 %",101,"52,88 %",167,24,7,"3,66 %",30.9501630666767,55.069722216666996,"7,06",5.380814307875644,61.9003261333534,92
2024-11-25 00:00:00,1899-12-30 10:30:00,10679,11437,"7,10 %",758,364,"3,18 %","0,32 %","2,12 %","1,81 %",270,243,"-10,15 %",-27,207,35,"90,63 %","89,71 %","-0,91 %",213.15000000000006,8.310160808926081,"-96,10 %",169.18609504881442,8.697843217370652,7.705488423988842,7.237401394700139,1.072759414225942,0.7170212560386472,33.20891554487181,0.7164251207729468,"30,86 %","95,06 %","32,47 %",2.52,231,75,23,43,9,"57,33 %",28,11,"39,29 %",47,32,"68,09 %",,,,"0,00 %",34,"13,99 %",2,"0,82 %",81,"33,33 %",218,25,4,"1,65 %",31.645661242182264,55.02222218333301,"6,89",6.830741504526743,63.29132248436453,99
2024-11-25 00:00:00,1899-12-30 11:00:00,12749,13726,"7,66 %",977,406,"2,96 %","0,30 %","2,18 %","1,88 %",306,299,"-2,42 %",-7,232,65,"90,63 %","83,28 %","-7,35 %",213.15000000000006,2.2395833333333335,"-98,95 %",284.35187277397256,8.697843217370652,6.785934765177548,1.0258681660899653,1.2137151672433681,7.342830362318841,22.245107549857554,7.31067821067821,"29,77 %","94,31 %","31,56 %",2.5280898876404496,282,89,31,52,6,"58,43 %",38,18,"47,37 %",51,34,"66,67 %",,,,"0,00 %",47,"15,72 %",5,"1,67 %",96,"32,11 %",249,50,9,"3,01 %",35.28145479304013,62.35833339999898,"7,47",7.3176865015433625,70.56290958608027,104
2024-11-25 00:00:00,1899-12-30 11:30:00,15800,17349,"9,80 %",1549,510,"2,94 %","0,25 %","1,69 %","1,44 %",319,294,"-7,91 %",-25,250,58,"90,63 %","89,80 %","-0,83 %",213.15000000000006,16.708969791666664,"-92,16 %",224.13476120689666,8.697843217370652,7.083833449074074,16.258188966318233,0.45078082534843134,1.2168795815295814,40.24614223163842,1.216883116883117,"26,19 %","95,24 %","27,50 %",2.1818181818181817,280,77,22,52,3,"67,53 %",31,17,"54,84 %",46,35,"76,09 %",,,,"0,00 %",38,"12,93 %",3,"1,02 %",96,"32,65 %",264,30,6,"2,04 %",35.804282576373,65.32138886666701,"7,43",6.970947686259309,71.608565152746,108
2024-11-25 00:00:00,1899-12-30 12:00:00,20050,21846,"8,96 %",1796,671,"3,07 %","0,23 %","1,60 %","1,37 %",366,349,"-4,75 %",-17,255,71,"90,63 %","87,97 %","-2,66 %",213.15000000000006,2.64313865877712,"-98,76 %",345.6399509746587,8.697843217370652,9.281152046783626,1.3850799309664694,1.2580587278106505,18.89532493872549,102.7585850719425,18.894485294117647,"32,95 %","94,27 %","34,95 %",2.2956521739130435,329,115,34,74,7,"64,35 %",47,25,"53,19 %",68,49,"72,06 %",,,,"0,00 %",59,"16,91 %",12,"3,44 %",70,"20,06 %",307,42,11,"3,15 %",41.805657802891474,69.77500001666901,"7,50",7.909561221654776,83.61131560578295,117
2024-11-25 00:00:00,1899-12-30 12:30:00,21031,22198,"5,55 %",1167,660,"2,97 %","0,22 %","1,52 %","1,30 %",371,338,"-8,89 %",-33,267,80,"90,63 %","88,76 %","-1,87 %",213.15000000000006,1.8012678497942387,"-99,15 %",251.90244546827793,8.697843217370652,8.213573743589741,0.9740864809081528,0.827181368886086,2.4047074735449736,82.62995529715764,2.39532279314888,"34,02 %","94,08 %","36,16 %",2.373913043478261,318,115,37,72,6,"62,61 %",40,22,"55,00 %",75,50,"66,67 %",,,,"1,25 %",53,"15,68 %",10,"2,96 %",125,"36,98 %",300,38,14,"4,14 %",41.9556561271508,75.384722249999,"7,48",7.0735812983630355,83.9113122543016,125
2024-11-25 00:00:00,1899-12-30 13:00:00,21684,22920,"5,70 %",1236,659,"2,88 %","0,23 %","1,71 %","1,48 %",398,391,"-1,71 %",-7,307,74,"90,63 %","88,75 %","-1,88 %",213.15000000000006,2.1040068,"-99,01 %",124.57570082251083,8.697843217370652,7.49967244094488,1.6982086007130128,0.40579819928698724,0.8785882696390652,36.1838015247108,0.8786093418259023,"35,81 %","95,91 %","37,33 %",2.407142857142857,375,140,43,84,13,"60,00 %",48,21,"43,75 %",92,63,"68,48 %",,,,"0,00 %",55,"14,07 %",4,"1,02 %",120,"30,69 %",347,44,16,"4,09 %",46.735775801421354,84.717777783331,"7,48",7.582752187926319,93.47155160284271,128
2024-11-25 00:00:00,1899-12-30 13:30:00,20867,21165,"1,43 %",298,618,"2,92 %","0,23 %","1,62 %","1,39 %",386,343,"-11,08 %",-43,262,86,"90,63 %","91,55 %","0,92 %",213.15000000000006,1.6598930555555558,"-99,22 %",147.932055873494,8.697843217370652,7.630096893491124,1.3791292039800995,0.28076385157545625,7.022798280423289,50.37218677042802,7.023082010582011,"38,19 %","97,38 %","39,22 %",2.3893129770992365,334,131,41,82,8,"62,60 %",44,21,"47,73 %",87,61,"70,11 %",,,,"0,00 %",57,"16,62 %",8,"2,33 %",128,"37,32 %",314,29,7,"2,04 %",45.179822860736394,83.80027780000103,"6,75",6.591950709745951,90.35964572147279,137
2024-11-25 00:00:00,1899-12-30 14:00:00,20268,20230,"-0,19 %",-38,537,"2,65 %","0,24 %","1,78 %","1,54 %",382,360,"-5,73 %",-22,263,79,"90,63 %","90,00 %","-0,63 %",213.15000000000006,1.3756695797516711,"-99,35 %",89.01727373447947,8.697843217370652,6.765275809523811,0.9818328557784141,0.3938367239732571,7.456372946859903,7.643562336892052,7.456823671497585,"34,44 %","94,44 %","36,47 %",2.532258064516129,340,124,43,70,11,"56,45 %",37,18,"48,65 %",87,52,"59,77 %",,,,"0,00 %",62,"17,22 %",7,"1,94 %",124,"34,44 %",324,36,11,"3,06 %",44.713205313333624,90.39694444999897,"6,21",6.4283768670524095,89.42641062666725,143
2024-11-25 00:00:00,1899-12-30 14:30:00,19178,19142,"-0,19 %",-36,536,"2,80 %","0,25 %","1,78 %","1,53 %",379,341,"-9,98 %",-38,331,59,"90,63 %","85,92 %","-4,70 %",213.15000000000006,5.735430704365078,"-97,31 %",231.84812542037577,8.697843217370652,7.743240850642929,1.0205779426310584,4.71485276173402,2.0260941874258602,56.95171784869976,2.025978647686833,"32,55 %","96,48 %","33,74 %",2.3963963963963963,329,111,35,68,8,"61,26 %",40,18,"45,00 %",71,50,"70,42 %",,,,"1,69 %",56,"16,42 %",5,"1,47 %",82,"24,05 %",293,48,5,"1,47 %",43.51477754441858,93.56166666667,"6,73",5.834460139819769,87.02955508883716,146
