Case ID;CSAT Rated Group Name;Group Name History;RESOLUTION GROUPS;RESOLUTION GROUPS BUCKETS;RESOLUTION TIME (Days);RESOLVED IN SLA;ISSUE CLASSIFICATION;FIRST TOUCH RESOLUTION;CSAT Rating Received;CLASSIFICATION;Start of Month
5008W000013Wmq9QAC;BR Support T1;BR Support T1,BR Operations T1/Ombudsman,BR Support T1,BR Support T1;4;D: 3+ GROUPS;5,5;0;Account Onboarding :: Starting on Stripe;0;5;PROMOTER;1/4/2023 00:00
5008W00001G57lpQAB;BR Support T1;BR Support T1,BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1;5;D: 3+ GROUPS;12,9;0;Account Onboarding :: Entity and Identity Data;0;4;PROMOTER;1/12/2023 00:00
5008W000013Wln5QAC;BR Support T1;BR Support T1,BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Support T1;6;D: 3+ GROUPS;7,6;0;Payments :: Other;0;5;PROMOTER;1/4/2023 00:00
5008W000019qo87QAA;BR Support T1;BR Support T1,BR Operations T1/Ombudsman,BR Support T1,BR Support T1,BR Support T1,BR Support T1,SMB Ops Support T2,BR Support T1,BR Support T1;9;D: 3+ GROUPS;13,7;0;Account Onboarding :: Account Approval State;0;4;PROMOTER;1/8/2023 00:00
5008W0000125f7UQAQ;BR Support T1;BR Support T1,BR Operations T1/Ombudsman,BR Support T1,Escalation Review,Escalation Review - Global Markets,SMB Ops Support T2,BR Support T1,BR Support T1,BR Support T1,BR Support T1,BR Support T1;11;D: 3+ GROUPS;12,0;0;Billing :: Subscriptions;0;5;PROMOTER;1/3/2023 00:00
5008W00000z3D1YQAU;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;1,2;1;Payments :: Refund;1;5;PROMOTER;1/1/2023 00:00
5008W00000z3OVtQAM;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,8;1;Account Onboarding :: Entity and Identity Data;1;5;PROMOTER;1/1/2023 00:00
5008W00000z4ajfQAA;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;3,5;0;Account Onboarding :: Entity and Identity Data;1;2;DETRACTOR;1/1/2023 00:00
5008W00000z4kfSQAQ;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,9;1;Payouts :: Payout Configuration;1;5;PROMOTER;1/1/2023 00:00
5008W00000z4kLcQAI;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,2;1;Payouts :: Payout Status;1;5;PROMOTER;1/1/2023 00:00
5008W00000z4MlJQAU;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Checkout :: General Capabilities;0;1;DETRACTOR;1/1/2023 00:00
5008W00000z4nY5QAI;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Payouts :: Other;1;5;PROMOTER;1/1/2023 00:00
5008W00000zcq95QAA;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;1,3;1;Payouts :: Other;0;2;DETRACTOR;1/1/2023 00:00
5008W00000zdAWEQA2;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;1,4;1;Account General :: API Keys;1;5;PROMOTER;1/1/2023 00:00
5008W00000zdbRvQAI;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,4;1;Payments :: Pricing;0;5;PROMOTER;1/1/2023 00:00
5008W00000zdJX8QAM;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Payouts :: Payout Status;1;4;PROMOTER;1/1/2023 00:00
5008W00000zdkpbQAA;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,4;1;Payments :: Availability;1;4;PROMOTER;1/1/2023 00:00
5008W00000zdqBcQAI;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,2;1;Account General :: Other;0;4;PROMOTER;1/1/2023 00:00
